lon lat depth
122.220140 29.844855 51.00
122.220116 29.841888 48.00
122.216620 29.844437 62.00
122.212734 29.843284 42.00
122.238027 29.860950 32.00
122.227233 29.863028 32.00
122.213371 29.868354 37.00
122.139932 29.899894 74.00
122.154545 29.900917 35.00
122.161451 29.902442 80.00
122.143880 29.862939 44.00
122.192204 29.868122 49.00
122.190362 29.864571 38.00
122.194058 29.863778 66.00
122.138789 29.964335 41.00
122.165135 29.939861 34.00
122.148852 29.969048 44.00
122.159301 29.968691 38.00
122.066812 29.975240 34.00
122.177837 29.910027 75.00
122.074436 29.928523 71.00
122.143451 29.897960 43.00
122.147304 29.897949 39.00
122.165504 29.872531 38.00
122.133034 29.867068 33.00
122.183438 29.904601 73.00
122.203708 29.883219 53.00
122.175317 29.890422 51.00
122.154707 29.868757 47.00
122.113066 29.912750 38.00
122.290155 29.922879 54.00
122.297515 29.917442 40.00
122.301279 29.900232 38.00
122.297706 29.888658 33.00
122.315751 29.889001 43.00
122.308517 29.900744 36.00
122.331146 29.904742 58.00
122.332022 29.907661 58.00
122.332908 29.909714 45.00
122.325936 29.909695 38.00
122.325136 29.907388 39.00
122.323623 29.909601 35.00
122.328518 29.911812 36.00
122.338155 29.907189 49.00
122.334816 29.905532 72.00
122.343749 29.901881 73.00
122.339603 29.900379 91.00
122.338729 29.903644 88.00
122.335678 29.902585 83.00
122.333866 29.898436 33.00
122.341711 29.898736 94.00
122.326552 29.902777 33.00
122.326674 29.896284 36.00
122.323169 29.887837 39.00
122.319421 29.886098 34.00
122.330263 29.888102 48.00
122.333889 29.885833 44.00
122.339693 29.885812 49.00
122.343173 29.885738 61.00
122.341701 29.888961 61.00
122.336663 29.888845 59.00
122.342087 29.892710 84.00
122.344124 29.894950 96.00
122.346694 29.890103 96.00
122.339542 29.895447 56.00
122.347054 29.894225 97.00
122.350009 29.890157 96.00
122.345614 29.898736 86.00
122.347402 29.896940 83.00
122.348060 29.900131 34.00
122.351437 29.893987 59.00
122.353734 29.891985 45.00
122.362822 29.891964 34.00
122.357518 29.885742 40.00
122.354746 29.887880 52.00
122.352923 29.884039 55.00
122.351100 29.886792 79.00
122.347466 29.886292 91.00
122.350163 29.883734 95.00
122.347291 29.882265 101.00
122.351287 29.880742 96.00
122.354696 29.881319 32.00
122.355358 29.878326 70.00
122.348228 29.879360 64.00
122.345068 29.881329 35.00
122.359814 29.876175 35.00
122.371200 29.879350 51.00
122.372729 29.876371 37.00
122.352387 29.876294 91.00
122.345580 29.876282 44.00
122.137525 29.941544 66.00
122.133569 29.941773 62.00
122.135693 29.943458 48.00
122.038944 29.976413 47.00
122.127828 29.943839 35.00
122.039116 29.974762 66.00
122.131205 29.944772 63.00
122.139555 29.944369 63.00
122.139892 29.938701 84.00
122.133562 29.939022 100.00
122.127098 29.938713 56.00
122.133874 29.943520 37.00
122.035591 29.969564 46.00
122.037539 29.980280 42.00
122.036839 29.976912 56.00
122.037995 29.971952 80.00
122.127592 29.940875 56.00
122.128449 29.945345 60.00
122.128021 29.946557 46.00
122.130225 29.939336 81.00
122.130059 29.942255 67.00
122.071113 30.008552 26.00
122.064071 30.008115 26.70
122.087702 30.007581 23.20
122.077295 30.007161 25.30
122.084481 30.005650 23.50
122.056553 30.004827 27.70
122.063087 30.002788 27.10
122.093894 30.001810 23.30
122.060944 30.001772 23.30
122.076984 30.001287 22.80
122.057765 29.999744 29.80
122.052846 29.997948 20.80
122.060312 29.997898 20.40
122.055694 29.995983 21.30
122.051945 29.995370 21.40
122.043847 29.995235 29.20
122.060447 29.994723 20.60
122.094277 29.994167 26.90
122.047575 29.993256 26.20
122.063191 29.993171 24.00
122.045701 29.992686 20.10
122.060426 29.992454 23.00
122.090187 29.991386 31.00
122.064195 29.991125 22.00
122.038059 29.990976 23.30
122.042170 29.990388 27.10
122.055673 29.989669 22.80
122.060302 29.989292 21.70
122.060457 29.986149 23.30
122.060737 29.983467 21.90
122.223179 29.939858 23.20
122.233893 29.937277 20.60
